"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
,,,,,"3821","3831","ROAD_SEGMENT","NaN","false","service","6.716183056901587","NaN","1338591256"
,,,,,"3822","3823","ROAD_SEGMENT","NaN","false","service","55.66286449488218","NaN","1109659523"
,,,,,"3823","3822","ROAD_SEGMENT","NaN","false","service","55.66286449488218","NaN","1109659523"
,,,,,"3823","3829","ROAD_SEGMENT","NaN","false","service","20.209400888368766","NaN","1109659523"
,,,,,"3824","3829","ROAD_SEGMENT","NaN","false","service","50.7655436054129","NaN","1338591255"
,,,,,"3824","3825","ROAD_SEGMENT","NaN","false","service","47.97254482559829","NaN","1338591255"
,,,,,"3825","3824","ROAD_SEGMENT","NaN","false","service","47.97254482559829","NaN","1338591255"
,,,,,"3826","3463","ROAD_SEGMENT","NaN","false","footway","65.29340414155982","NaN","350227481"
,,,,,"3826","1319","ROAD_SEGMENT","NaN","false","footway","6.634611159728141","NaN","350227481"
,,,,,"3826","3827","ROAD_SEGMENT","NaN","false","service","3.0216526135929715","NaN","1338940262"
,,,,,"3826","762","ROAD_SEGMENT","NaN","false","service","9.15354320328044","NaN","1338940262"
,,,,,"3827","3826","ROAD_SEGMENT","NaN","false","service","3.0216526135929715","NaN","1338940262"
,,,,,"3828","3830","ROAD_SEGMENT","NaN","false","service","7.561267741027536","NaN","1338591256"
,,,,,"3828","3821","ROAD_SEGMENT","NaN","false","service","4.848105649456167","NaN","1338591256"
,,,,,"3829","3823","ROAD_SEGMENT","NaN","false","service","20.209400888368766","NaN","1109659523"
,,,,,"3829","3824","ROAD_SEGMENT","NaN","false","service","50.7655436054129","NaN","1338591255"
,,,,,"3829","3830","ROAD_SEGMENT","NaN","false","service","18.469103253796277","NaN","1338591256"
,,,,,"3830","3829","ROAD_SEGMENT","NaN","false","service","18.469103253796277","NaN","1338591256"
,,,,,"3830","3828","ROAD_SEGMENT","NaN","false","service","7.561267741027536","NaN","1338591256"
,,,,,"3831","3821","ROAD_SEGMENT","NaN","false","service","6.716183056901587","NaN","1338591256"
,,,,,"3832","46","ROAD_SEGMENT","NaN","false","service","24.316178053361885","NaN","1245401758"
,,,,,"3832","26","ROAD_SEGMENT","NaN","false","service","8.387830438258499","NaN","1245401764"
,,,,,"3833","1192","ROAD_SEGMENT","NaN","false","footway","30.798956259881663","NaN","440529234"
,,,,,"3833","1191","ROAD_SEGMENT","NaN","false","footway","4.720878101745487","NaN","440529234"
,,,,,"3834","3835","ROAD_SEGMENT","NaN","false","service","87.36102997246924","NaN","1109678928"
,,,,,"3834","4314","ROAD_SEGMENT","NaN","false","service","21.53141395434736","NaN","1109678928"
,,,,,"3835","3834","ROAD_SEGMENT","NaN","false","service","87.36102997246924","NaN","1109678928"
,,,,,"3836","1302","ROAD_SEGMENT","NaN","false","service","2.881263283736032","NaN","1109678928"
,,,,,"3836","5","ROAD_SEGMENT","NaN","false","service","11.347856163666425","NaN","1109678928"
,,,,,"3837","3841","ROAD_SEGMENT","NaN","false","service","17.728265216406843","NaN","1109678933"
,,,,,"3837","3849","ROAD_SEGMENT","NaN","false","service","99.29053774645598","NaN","1109678933"
,,,,,"3838","1314","ROAD_SEGMENT","NaN","false","footway","17.286607974735244","NaN","1109643186"
,,,,,"3838","3844","ROAD_SEGMENT","NaN","false","footway","103.37562964508443","NaN","1109643186"
,,,,,"3838","3842","ROAD_SEGMENT","NaN","false","service","3.1469396215607492","NaN","1109678930"
,,,,,"3838","3843","ROAD_SEGMENT","NaN","false","service","13.064406086415975","NaN","1109678930"
,,,,,"3839","3840","ROAD_SEGMENT","NaN","false","service","16.600411709927556","NaN","1109678929"
